target_id,metric_name,value,tags
0192ced0-9998-7050-94e1-169aa33d0656,dashboard_fixture_exact_match,False,{}
0192ced0-993f-73a3-9fa8-e7f4edfb8c57,dashboard_fixture_exact_match,False,{}
0192ced0-9c1d-7261-9c77-ae24df02f4bc,dashboard_fixture_exact_match,False,{}
0192ced0-9b9b-7323-8d3b-5648b4010991,dashboard_fixture_exact_match,True,{}
0192ced0-9a25-7b42-9531-76bda018fc76,dashboard_fixture_exact_match,False,{}
0192ced0-9a12-7fc1-9ffe-12f71a46a9a1,dashboard_fixture_exact_match,False,{}
0192ced0-98d9-75b1-9cfd-f2431a407070,dashboard_fixture_exact_match,False,{}
0192ced0-98bb-7ab1-bbe9-d66735c66b7d,dashboard_fixture_exact_match,True,{}
0192ced0-99a0-7502-9aaf-dc262e960523,dashboard_fixture_exact_match,False,{}
0192ced0-9895-7453-85e5-00cdcfbce8e3,dashboard_fixture_exact_match,False,{}
0192ced0-98be-7372-94af-c03f07cbcc67,dashboard_fixture_exact_match,True,{}
0192ced0-9bf4-7013-b140-ab528b3dcfa3,dashboard_fixture_exact_match,False,{}
0192ced0-9b5d-79f3-8433-5b568580ad3f,dashboard_fixture_exact_match,False,{}
0192ced0-9b5b-7ed0-8426-c80c07cf7063,dashboard_fixture_exact_match,False,{}
0192ced0-9b8e-7871-97b9-47e4e28fdf8a,dashboard_fixture_exact_match,True,{}
0192ced0-9979-7ae2-ad8d-fd741623846e,dashboard_fixture_exact_match,False,{}
0192ced0-987b-7763-a428-b3ec3a9ea20f,dashboard_fixture_exact_match,True,{}
0192ced0-9ba4-7991-a3eb-144fa1502650,dashboard_fixture_exact_match,False,{}
0192ced0-9a51-7bf0-a71a-0b742cbba18f,dashboard_fixture_exact_match,False,{}
0192ced0-9b5a-7c11-9a03-3dbca22fa726,dashboard_fixture_exact_match,False,{}
0192ced0-994a-7093-86bf-53e5efb29816,dashboard_fixture_exact_match,False,{}
0192ced0-99cc-7962-9181-5ce939f765ec,dashboard_fixture_exact_match,True,{}
0192ced0-9912-7da1-aad1-43a0a6c960fc,dashboard_fixture_exact_match,True,{}
0192ced0-9895-7453-85e5-00ae27921722,dashboard_fixture_exact_match,True,{}
0192ced0-9940-75a3-a7a5-46ecc40fd161,dashboard_fixture_exact_match,False,{}
0192ced0-9a7a-7f82-a1b5-398635c3c76d,dashboard_fixture_exact_match,True,{}
0192ced0-9940-75a3-a7a5-46c2efc4435f,dashboard_fixture_exact_match,False,{}
0192ced0-990c-7b01-af7a-ecbe3fb9983f,dashboard_fixture_exact_match,True,{}
0192ced0-9873-70e2-ade5-dc5b8faea232,dashboard_fixture_exact_match,True,{}
0192ced0-986c-7621-bf9f-e5377d9f904a,dashboard_fixture_exact_match,False,{}
0193fb9d-5626-7d03-803f-b0aade8107f9,dashboard_fixture_haiku_score,False,{}
0193fb9d-9bbd-7a51-811a-de98c8fb59e0,dashboard_fixture_haiku_score,True,{}
0193fb9d-c069-7743-811e-48f2aae065fa,dashboard_fixture_haiku_score,False,{}
0193fb9d-ab27-76c0-812f-73f40bd9b5ba,dashboard_fixture_haiku_score,True,{}
0193fb9d-c258-7620-8140-4b2a1f311a7d,dashboard_fixture_haiku_score,False,{}
0193fb9d-81dc-7cd3-817c-7880a8203ad0,dashboard_fixture_haiku_score,False,{}
0193fb9d-bdb2-7731-81d8-192ba7ceca90,dashboard_fixture_haiku_score,False,{}
0193fb9d-a3ff-7a23-822e-9ca0d3222851,dashboard_fixture_haiku_score,False,{}
0193fb9d-c87b-7b01-8231-5268c9c132d8,dashboard_fixture_haiku_score,False,{}
0193fb9d-c1e0-7d10-82a5-ac51b08fcea1,dashboard_fixture_haiku_score,False,{}
0193fb9d-b0e4-7173-82c1-e824e79c7535,dashboard_fixture_haiku_score,False,{}
0193fb9d-706f-7703-82f9-85d5dd5c8198,dashboard_fixture_haiku_score,True,{}
0193fb9d-cdaa-7aa0-8329-71be806aca74,dashboard_fixture_haiku_score,False,{}
0193fb9d-c694-7f31-8370-061f5ab7820a,dashboard_fixture_haiku_score,False,{}
0193fb9d-c003-7981-83a6-4c2a901e7be8,dashboard_fixture_haiku_score,False,{}
0193fb9d-c776-76a1-83c4-a42573f46b8a,dashboard_fixture_haiku_score,False,{}
0193fb9d-b9c9-7c22-848f-c26de5eda59b,dashboard_fixture_haiku_score,False,{}
0193fb9d-ca33-7c11-84b5-8c39b8d39265,dashboard_fixture_haiku_score,False,{}
0193fb9d-8c8f-7973-84e7-62f085f320de,dashboard_fixture_haiku_score,True,{}
0193fb9d-b411-7712-8549-c02275e51ae1,dashboard_fixture_haiku_score,False,{}
0193fb9d-cbe1-7a81-8575-40d3266bd327,dashboard_fixture_haiku_score,False,{}
0193fb9d-c559-7dd0-85ca-679efb8df051,dashboard_fixture_haiku_score,False,{}
0193fb9d-ca46-7cf1-85ea-1f1582ec3b8c,dashboard_fixture_haiku_score,False,{}
0193fb9d-abed-7a92-868d-c8365c3ffb51,dashboard_fixture_haiku_score,False,{}
0193fb9d-abed-7a92-868d-c85443c360f3,dashboard_fixture_haiku_score,True,{}
0193fb9d-bbd5-70c2-86de-85bda810c4ea,dashboard_fixture_haiku_score,False,{}
0193fb9d-c092-78a2-8724-e9ea1519e4e1,dashboard_fixture_haiku_score,False,{}
0193fb9d-b6f7-7051-8893-62691ee41232,dashboard_fixture_haiku_score,False,{}
0193fb9d-5382-7c31-88c9-4711b3c94991,dashboard_fixture_haiku_score,True,{}
0193fb9d-ce11-7521-88ea-747800d974de,dashboard_fixture_haiku_score,False,{}
0193fb9d-ac87-7ba0-88fd-4c822607a97c,dashboard_fixture_haiku_score,False,{}
0193fb9d-af83-7a23-891a-0638af490648,dashboard_fixture_haiku_score,False,{}
0193fb9d-5219-7ea1-898a-236ef2deb930,dashboard_fixture_haiku_score,False,{}
